                              P           Q            P           Q            P           Q
                R                  5p-                      5p                       5d-
    47      1.8001E-08    6.8113E-11  1.3257E-06   1.0671E-12 -3.1846E-17   3.1607E-18  1.0253E-13
    48      1.8182E-08    6.9489E-11  1.3390E-06   1.0887E-12 -3.2816E-17   3.2570E-18  1.0460E-13
    49      1.8364E-08    7.0893E-11  1.3525E-06   1.1107E-12 -3.3816E-17   3.3562E-18  1.0671E-13
    50      1.8549E-08    7.2325E-11  1.3661E-06   1.1331E-12 -3.4846E-17   3.4584E-18  1.0887E-13
    51      1.8735E-08    7.3786E-11  1.3798E-06   1.1560E-12 -3.5907E-17   3.5637E-18  1.1107E-13
    52      1.8924E-08    7.5277E-11  1.3937E-06   1.1794E-12 -3.7000E-17   3.6723E-18  1.1331E-13
    53      1.9114E-08    7.6797E-11  1.4077E-06   1.2032E-12 -3.8127E-17   3.7841E-18  1.1560E-13
    54      1.9306E-08    7.8349E-11  1.4218E-06   1.2275E-12 -3.9288E-17   3.8993E-18  1.1794E-13
    55      1.9500E-08    7.9932E-11  1.4361E-06   1.2523E-12 -4.0485E-17   4.0181E-18  1.2032E-13
    56      1.9696E-08    8.1546E-11  1.4505E-06   1.2776E-12 -4.1718E-17   4.1405E-18  1.2275E-13
    57      1.9894E-08    8.3194E-11  1.4651E-06   1.3034E-12 -4.2988E-17   4.2666E-18  1.2523E-13
    58      2.0094E-08    8.4874E-11  1.4798E-06   1.3297E-12 -4.4297E-17   4.3965E-18  1.2776E-13
    59      2.0296E-08    8.6589E-11  1.4947E-06   1.3566E-12 -4.5646E-17   4.5304E-18  1.3034E-13
    60      2.0500E-08    8.8338E-11  1.5097E-06   1.3840E-12 -4.7037E-17   4.6684E-18  1.3297E-13
    61      2.0706E-08    9.0123E-11  1.5249E-06   1.4119E-12 -4.8469E-17   4.8105E-18  1.3566E-13
    62      2.0914E-08    9.1943E-11  1.5402E-06   1.4405E-12 -4.9945E-17   4.9570E-18  1.3840E-13
    63      2.1124E-08    9.3801E-11  1.5557E-06   1.4696E-12 -5.1466E-17   5.1080E-18  1.4120E-13
    64      2.1336E-08    9.5696E-11  1.5714E-06   1.4993E-12 -5.3034E-17   5.2636E-18  1.4405E-13
