#                              P           Q            P           Q
#                R                  5s                       5p-
    64      3.3529E-08    1.2937E-06 -8.8330E-11   1.5203E-11  2.1312E-07
    65      3.3866E-08    1.3067E-06 -9.0115E-11   1.5510E-11  2.1526E-07
    66      3.4206E-08    1.3199E-06 -9.1935E-11   1.5824E-11  2.1742E-07
    67      3.4550E-08    1.3331E-06 -9.3793E-11   1.6143E-11  2.1961E-07
    68      3.4897E-08    1.3465E-06 -9.5687E-11   1.6469E-11  2.2182E-07
    69      3.5248E-08    1.3601E-06 -9.7620E-11   1.6802E-11  2.2405E-07
    70      3.5602E-08    1.3737E-06 -9.9592E-11   1.7141E-11  2.2630E-07
    71      3.5960E-08    1.3875E-06 -1.0160E-10   1.7488E-11  2.2857E-07
    72      3.6321E-08    1.4015E-06 -1.0366E-10   1.7841E-11  2.3087E-07
    73      3.6686E-08    1.4156E-06 -1.0575E-10   1.8201E-11  2.3319E-07
    74      3.7055E-08    1.4298E-06 -1.0789E-10   1.8569E-11  2.3553E-07
    75      3.7427E-08    1.4442E-06 -1.1007E-10   1.8944E-11  2.3790E-07
    76      3.7804E-08    1.4587E-06 -1.1229E-10   1.9327E-11  2.4029E-07
    77      3.8184E-08    1.4733E-06 -1.1456E-10   1.9717E-11  2.4271E-07
    78      3.8567E-08    1.4881E-06 -1.1687E-10   2.0116E-11  2.4515E-07
    79      3.8955E-08    1.5031E-06 -1.1923E-10   2.0522E-11  2.4761E-07
    80      3.9346E-08    1.5182E-06 -1.2164E-10   2.0937E-11  2.5010E-07
    81      3.9742E-08    1.5335E-06 -1.2410E-10   2.1360E-11  2.5261E-07
    82      4.0141E-08    1.5489E-06 -1.2661E-10   2.1791E-11  2.5515E-07
    83      4.0545E-08    1.5644E-06 -1.2916E-10   2.2231E-11  2.5771E-07
    84      4.0952E-08    1.5802E-06 -1.3177E-10   2.2680E-11  2.6030E-07
    85      4.1364E-08    1.5960E-06 -1.3444E-10   2.3139E-11  2.6292E-07
    86      4.1779E-08    1.6121E-06 -1.3715E-10   2.3606E-11  2.6556E-07
    87      4.2199E-08    1.6283E-06 -1.3992E-10   2.4083E-11  2.6823E-07
    88      4.2623E-08    1.6446E-06 -1.4275E-10   2.4569E-11  2.7093E-07
    89      4.3052E-08    1.6612E-06 -1.4563E-10   2.5066E-11  2.7365E-07
    90      4.3484E-08    1.6779E-06 -1.4857E-10   2.5572E-11  2.7640E-07
    91      4.3921E-08    1.6947E-06 -1.5158E-10   2.6089E-11  2.7918E-07
    92      4.4363E-08    1.7118E-06 -1.5464E-10   2.6616E-11  2.8198E-07
    93      4.4809E-08    1.7290E-06 -1.5776E-10   2.7153E-11  2.8482E-07
