#                R                  6p-                      6p                      7s 
#                              P           Q            P           Q           P           Q
    52      1.8924E-08    3.0219E-11  5.5946E-07   4.5765E-13 -1.4358E-17  6.8873E-07 -3.6012E-11
    53      1.9114E-08    3.0829E-11  5.6508E-07   4.6690E-13 -1.4796E-17  6.9565E-07 -3.6740E-11
    54      1.9306E-08    3.1452E-11  5.7076E-07   4.7633E-13 -1.5246E-17  7.0264E-07 -3.7482E-11
    55      1.9500E-08    3.2087E-11  5.7650E-07   4.8595E-13 -1.5710E-17  7.0970E-07 -3.8239E-11
    56      1.9696E-08    3.2736E-11  5.8229E-07   4.9577E-13 -1.6189E-17  7.1683E-07 -3.9012E-11
    57      1.9894E-08    3.3397E-11  5.8814E-07   5.0578E-13 -1.6682E-17  7.2404E-07 -3.9800E-11
    58      2.0094E-08    3.4072E-11  5.9406E-07   5.1600E-13 -1.7190E-17  7.3131E-07 -4.0604E-11
    59      2.0296E-08    3.4760E-11  6.0003E-07   5.2642E-13 -1.7713E-17  7.3866E-07 -4.1424E-11
    60      2.0500E-08    3.5462E-11  6.0606E-07   5.3706E-13 -1.8253E-17  7.4609E-07 -4.2261E-11
    61      2.0706E-08    3.6178E-11  6.1215E-07   5.4791E-13 -1.8809E-17  7.5359E-07 -4.3114E-11
    62      2.0914E-08    3.6909E-11  6.1830E-07   5.5898E-13 -1.9382E-17  7.6116E-07 -4.3985E-11
    63      2.1124E-08    3.7655E-11  6.2451E-07   5.7027E-13 -1.9972E-17  7.6881E-07 -4.4874E-11
    64      2.1336E-08    3.8416E-11  6.3079E-07   5.8179E-13 -2.0580E-17  7.7654E-07 -4.5781E-11
    65      2.1551E-08    3.9192E-11  6.3713E-07   5.9354E-13 -2.1207E-17  7.8434E-07 -4.6705E-11
    66      2.1768E-08    3.9983E-11  6.4353E-07   6.0553E-13 -2.1853E-17  7.9222E-07 -4.7649E-11
    67      2.1986E-08    4.0791E-11  6.5000E-07   6.1776E-13 -2.2518E-17  8.0019E-07 -4.8611E-11
    68      2.2207E-08    4.1615E-11  6.5653E-07   6.3024E-13 -2.3204E-17  8.0823E-07 -4.9593E-11
    69      2.2430E-08    4.2456E-11  6.6313E-07   6.4298E-13 -2.3911E-17  8.1635E-07 -5.0595E-11
    70      2.2656E-08    4.3313E-11  6.6980E-07   6.5596E-13 -2.4639E-17  8.2455E-07 -5.1617E-11
    71      2.2884E-08    4.4188E-11  6.7653E-07   6.6922E-13 -2.5389E-17  8.3284E-07 -5.2660E-11
    72      2.3114E-08    4.5081E-11  6.8333E-07   6.8274E-13 -2.6162E-17  8.4121E-07 -5.3724E-11
    73      2.3346E-08    4.5992E-11  6.9019E-07   6.9653E-13 -2.6959E-17  8.4967E-07 -5.4809E-11
    74      2.3580E-08    4.6921E-11  6.9713E-07   7.1060E-13 -2.7780E-17  8.5821E-07 -5.5916E-11
    75      2.3817E-08    4.7869E-11  7.0414E-07   7.2495E-13 -2.8626E-17  8.6683E-07 -5.7046E-11
    76      2.4057E-08    4.8836E-11  7.1121E-07   7.3960E-13 -2.9498E-17  8.7554E-07 -5.8198E-11
    77      2.4299E-08    4.9822E-11  7.1836E-07   7.5454E-13 -3.0396E-17  8.8434E-07 -5.9374E-11
    78      2.4543E-08    5.0829E-11  7.2558E-07   7.6978E-13 -3.1322E-17  8.9323E-07 -6.0574E-11
    79      2.4789E-08    5.1855E-11  7.3287E-07   7.8533E-13 -3.2276E-17  9.0221E-07 -6.1797E-11
    80      2.5039E-08    5.2903E-11  7.4024E-07   8.0120E-13 -3.3259E-17  9.1127E-07 -6.3046E-11
    81      2.5290E-08    5.3972E-11  7.4768E-07   8.1738E-13 -3.4272E-17  9.2043E-07 -6.4319E-11
    82      2.5544E-08    5.5062E-11  7.5519E-07   8.3389E-13 -3.5315E-17  9.2968E-07 -6.5619E-11
    83      2.5801E-08    5.6174E-11  7.6278E-07   8.5074E-13 -3.6391E-17  9.3903E-07 -6.6944E-11
    84      2.6060E-08    5.7309E-11  7.7045E-07   8.6793E-13 -3.7499E-17  9.4846E-07 -6.8297E-11
    85      2.6322E-08    5.8467E-11  7.7819E-07   8.8546E-13 -3.8641E-17  9.5800E-07 -6.9676E-11
    86      2.6587E-08    5.9648E-11  7.8601E-07   9.0335E-13 -3.9818E-17  9.6762E-07 -7.1084E-11
    87      2.6854E-08    6.0853E-11  7.9391E-07   9.2160E-13 -4.1031E-17  9.7735E-07 -7.2520E-11
    88      2.7124E-08    6.2082E-11  8.0189E-07   9.4021E-13 -4.2280E-17  9.8717E-07 -7.3985E-11
    89      2.7397E-08    6.3336E-11  8.0995E-07   9.5921E-13 -4.3568E-17  9.9709E-07 -7.5479E-11
    90      2.7672E-08    6.4616E-11  8.1809E-07   9.7858E-13 -4.4895E-17  1.0071E-06 -7.7004E-11
    91      2.7950E-08    6.5921E-11  8.2631E-07   9.9835E-13 -4.6262E-17  1.0172E-06 -7.8560E-11
    92      2.8231E-08    6.7253E-11  8.3462E-07   1.0185E-12 -4.7671E-17  1.0275E-06 -8.0147E-11
    93      2.8515E-08    6.8611E-11  8.4300E-07   1.0391E-12 -4.9122E-17  1.0378E-06 -8.1766E-11
    94      2.8801E-08    6.9997E-11  8.5148E-07   1.0601E-12 -5.0618E-17  1.0482E-06 -8.3418E-11
    95      2.9091E-08    7.1412E-11  8.6003E-07   1.0815E-12 -5.2160E-17  1.0587E-06 -8.5103E-11
    96      2.9383E-08    7.2854E-11  8.6868E-07   1.1034E-12 -5.3749E-17  1.0694E-06 -8.6822E-11
    97      2.9678E-08    7.4326E-11  8.7741E-07   1.1256E-12 -5.5385E-17  1.0801E-06 -8.8576E-11
    98      2.9977E-08    7.5827E-11  8.8623E-07   1.1484E-12 -5.7072E-17  1.0910E-06 -9.0365E-11
    99      3.0278E-08    7.7359E-11  8.9513E-07   1.1716E-12 -5.8810E-17  1.1020E-06 -9.2191E-11
   100      3.0582E-08    7.8922E-11  9.0413E-07   1.1952E-12 -6.0601E-17  1.1130E-06 -9.4053E-11
   101      3.0890E-08    8.0516E-11  9.1322E-07   1.2194E-12 -6.2447E-17  1.1242E-06 -9.5953E-11
   102      3.1200E-08    8.2143E-11  9.2239E-07   1.2440E-12 -6.4349E-17  1.1355E-06 -9.7891E-11
   103      3.1514E-08    8.3802E-11  9.3166E-07   1.2692E-12 -6.6308E-17  1.1469E-06 -9.9869E-11
   104      3.1830E-08    8.5495E-11  9.4103E-07   1.2948E-12 -6.8328E-17  1.1585E-06 -1.0189E-10
   105      3.2150E-08    8.7222E-11  9.5048E-07   1.3210E-12 -7.0409E-17  1.1701E-06 -1.0394E-10
   106      3.2473E-08    8.8984E-11  9.6004E-07   1.3476E-12 -7.2553E-17  1.1819E-06 -1.0604E-10
   107      3.2800E-08    9.0782E-11  9.6969E-07   1.3749E-12 -7.4762E-17  1.1937E-06 -1.0819E-10
