#                             P           Q            P           Q            P           Q            P           Q
#                R                 3d                       4s                       4p-                      4p 
    36      3.7344E-08   5.8951E-20 -1.4867E-24   1.0372E-06 -6.1036E-11   6.7111E-12  1.0780E-07   3.1709E-13 -1.1196E-17
    37      3.7719E-08   6.0746E-20 -1.5474E-24   1.0476E-06 -6.2269E-11   6.8467E-12  1.0888E-07   3.2349E-13 -1.1537E-17
    38      3.8098E-08   6.2596E-20 -1.6106E-24   1.0581E-06 -6.3527E-11   6.9850E-12  1.0997E-07   3.3003E-13 -1.1888E-17
    39      3.8481E-08   6.4502E-20 -1.6763E-24   1.0688E-06 -6.4811E-11   7.1261E-12  1.1108E-07   3.3670E-13 -1.2250E-17
    40      3.8868E-08   6.6467E-20 -1.7447E-24   1.0795E-06 -6.6120E-11   7.2701E-12  1.1220E-07   3.4350E-13 -1.2623E-17
    41      3.9259E-08   6.8491E-20 -1.8159E-24   1.0904E-06 -6.7455E-11   7.4170E-12  1.1332E-07   3.5044E-13 -1.3008E-17
    42      3.9653E-08   7.0577E-20 -1.8900E-24   1.1013E-06 -6.8818E-11   7.5668E-12  1.1446E-07   3.5752E-13 -1.3404E-17
    43      4.0052E-08   7.2726E-20 -1.9672E-24   1.1124E-06 -7.0208E-11   7.7196E-12  1.1561E-07   3.6474E-13 -1.3812E-17
    44      4.0454E-08   7.4941E-20 -2.0474E-24   1.1236E-06 -7.1627E-11   7.8756E-12  1.1678E-07   3.7211E-13 -1.4233E-17
    45      4.0861E-08   7.7223E-20 -2.1310E-24   1.1349E-06 -7.3074E-11   8.0347E-12  1.1795E-07   3.7962E-13 -1.4666E-17
    46      4.1271E-08   7.9575E-20 -2.2180E-24   1.1463E-06 -7.4550E-11   8.1970E-12  1.1913E-07   3.8729E-13 -1.5113E-17
    47      4.1686E-08   8.1999E-20 -2.3085E-24   1.1578E-06 -7.6056E-11   8.3626E-12  1.2033E-07   3.9512E-13 -1.5573E-17
    48      4.2105E-08   8.4496E-20 -2.4027E-24   1.1694E-06 -7.7592E-11   8.5315E-12  1.2154E-07   4.0310E-13 -1.6047E-17
    49      4.2528E-08   8.7069E-20 -2.5008E-24   1.1812E-06 -7.9160E-11   8.7039E-12  1.2276E-07   4.1124E-13 -1.6536E-17
    50      4.2956E-08   8.9721E-20 -2.6028E-24   1.1931E-06 -8.0759E-11   8.8797E-12  1.2400E-07   4.1955E-13 -1.7040E-17
    51      4.3387E-08   9.2453E-20 -2.7090E-24   1.2050E-06 -8.2390E-11   9.0591E-12  1.2524E-07   4.2802E-13 -1.7559E-17
    52      4.3823E-08   9.5269E-20 -2.8196E-24   1.2172E-06 -8.4055E-11   9.2421E-12  1.2650E-07   4.3667E-13 -1.8093E-17
    53      4.4264E-08   9.8170E-20 -2.9347E-24   1.2294E-06 -8.5753E-11   9.4288E-12  1.2777E-07   4.4549E-13 -1.8644E-17
    54      4.4709E-08   1.0116E-19 -3.0544E-24   1.2417E-06 -8.7485E-11   9.6193E-12  1.2906E-07   4.5449E-13 -1.9212E-17
