#                             P           Q            P           Q
#                R                 5p                       6s 
  2036      1.2294E+01  -1.2895E-04  3.6844E-07  -4.3781E-02  8.0141E-05
  2037      1.2418E+01  -1.1945E-04  3.3963E-07  -4.1561E-02  7.6197E-05
  2038      1.2543E+01  -1.1060E-04  3.1297E-07  -3.9426E-02  7.2393E-05
  2039      1.2669E+01  -1.0235E-04  2.8829E-07  -3.7372E-02  6.8728E-05
  2040      1.2796E+01  -9.4659E-05  2.6546E-07  -3.5400E-02  6.5198E-05
  2041      1.2925E+01  -8.7501E-05  2.4433E-07  -3.3507E-02  6.1803E-05
  2042      1.3055E+01  -8.0838E-05  2.2479E-07  -3.1691E-02  5.8539E-05
  2043      1.3186E+01  -7.4639E-05  2.0672E-07  -2.9951E-02  5.5405E-05
  2044      1.3318E+01  -6.8873E-05  1.9001E-07  -2.8285E-02  5.2397E-05
  2045      1.3452E+01  -6.3513E-05  1.7456E-07  -2.6691E-02  4.9514E-05
  2046      1.3587E+01  -5.8534E-05  1.6029E-07  -2.5167E-02  4.6752E-05
  2047      1.3724E+01  -5.3909E-05  1.4710E-07  -2.3712E-02  4.4108E-05
  2048      1.3862E+01  -4.9617E-05  1.3492E-07  -2.2323E-02  4.1580E-05
  2049      1.4001E+01  -4.5635E-05  1.2368E-07  -2.0998E-02  3.9165E-05
  2050      1.4142E+01  -4.1944E-05  1.1331E-07  -1.9736E-02  3.6859E-05
  2051      1.4284E+01  -3.8523E-05  1.0374E-07  -1.8535E-02  3.4660E-05
  2052      1.4428E+01  -3.5356E-05  9.4922E-08  -1.7392E-02  3.2565E-05
  2053      1.4573E+01  -3.2425E-05  8.6795E-08  -1.6307E-02  3.0571E-05
  2054      1.4719E+01  -2.9715E-05  7.9310E-08  -1.5276E-02  2.8674E-05
  2055      1.4867E+01  -2.7210E-05  7.2420E-08  -1.4298E-02  2.6871E-05
  2056      1.5016E+01  -2.4897E-05  6.6082E-08  -1.3371E-02  2.5160E-05
  2057      1.5167E+01  -2.2763E-05  6.0255E-08  -1.2494E-02  2.3537E-05
  2058      1.5320E+01  -2.0794E-05  5.4900E-08  -1.1664E-02  2.1999E-05
  2059      1.5474E+01  -1.8981E-05  4.9984E-08  -1.0879E-02  2.0543E-05
  2060      1.5629E+01  -1.7311E-05  4.5472E-08  -1.0138E-02  1.9166E-05
  2061      1.5786E+01  -1.5774E-05  4.1335E-08  -9.4396E-03  1.7865E-05
  2062      1.5945E+01  -1.4362E-05  3.7544E-08  -8.7808E-03  1.6637E-05
  2063      1.6105E+01  -1.3064E-05  3.4072E-08  -8.1605E-03  1.5478E-05
  2064      1.6267E+01  -1.1874E-05  3.0896E-08  -7.5771E-03  1.4387E-05
  2065      1.6430E+01  -1.0782E-05  2.7992E-08  -7.0287E-03  1.3360E-05
  2066      1.6596E+01  -9.7817E-06  2.5339E-08  -6.5138E-03  1.2395E-05
  2067      1.6762E+01  -8.8661E-06  2.2917E-08  -6.0309E-03  1.1488E-05
  2068      1.6931E+01  -8.0286E-06  2.0708E-08  -5.5784E-03  1.0637E-05
  2069      1.7101E+01  -7.2635E-06  1.8695E-08  -5.1549E-03  9.8392E-06
  2070      1.7273E+01  -6.5649E-06  1.6862E-08  -4.7587E-03  9.0922E-06
  2071      1.7446E+01  -5.9279E-06  1.5195E-08  -4.3887E-03  8.3935E-06
  2072      1.7622E+01  -5.3474E-06  1.3680E-08  -4.0434E-03  7.7406E-06
  2073      1.7799E+01  -4.8190E-06  1.2304E-08  -3.7215E-03  7.1312E-06
  2074      1.7978E+01  -4.3384E-06  1.1055E-08  -3.4217E-03  6.5630E-06
  2075      1.8158E+01  -3.9018E-06  9.9235E-09  -3.1428E-03  6.0337E-06
  2076      1.8341E+01  -3.5056E-06  8.8989E-09  -2.8836E-03  5.5412E-06
  2077      1.8525E+01  -3.1463E-06  7.9720E-09  -2.6430E-03  5.0835E-06
  2078      1.8711E+01  -2.8209E-06  7.1343E-09  -2.4199E-03  4.6586E-06
  2079      1.8900E+01  -2.5265E-06  6.3780E-09  -2.2132E-03  4.2646E-06
  2080      1.9089E+01  -2.2604E-06  5.6960E-09  -2.0220E-03  3.8996E-06
  2081      1.9281E+01  -2.0201E-06  5.0814E-09  -1.8453E-03  3.5619E-06
  2082      1.9475E+01  -1.8034E-06  4.5284E-09  -1.6822E-03  3.2498E-06
  2083      1.9671E+01  -1.6082E-06  4.0311E-09  -1.5317E-03  2.9617E-06
  2084      1.9869E+01  -1.4325E-06  3.5845E-09  -1.3932E-03  2.6961E-06
  2085      2.0068E+01  -1.2746E-06  3.1838E-09  -1.2657E-03  2.4514E-06
  2086      2.0270E+01  -1.1327E-06  2.8248E-09  -1.1486E-03  2.2264E-06
  2087      2.0474E+01  -1.0055E-06  2.5034E-09  -1.0411E-03  2.0197E-06
  2088      2.0679E+01  -8.9158E-07  2.2160E-09  -9.4254E-04  1.8299E-06
  2089      2.0887E+01  -7.8961E-07  1.9593E-09  -8.5231E-04  1.6561E-06
  2090      2.1097E+01  -6.9847E-07  1.7304E-09  -7.6979E-04  1.4969E-06
  2091      2.1309E+01  -6.1711E-07  1.5264E-09  -6.9442E-04  1.3514E-06
  2092      2.1523E+01  -5.4456E-07  1.3448E-09  -6.2566E-04  1.2185E-06
  2093      2.1740E+01  -4.7996E-07  1.1834E-09  -5.6301E-04  1.0973E-06
  2094      2.1958E+01  -4.2249E-07  1.0401E-09  -5.0601E-04  9.8693E-07
  2095      2.2179E+01  -3.7144E-07  9.1298E-10  -4.5420E-04  8.8654E-07
  2096      2.2402E+01  -3.2615E-07  8.0042E-10  -4.0718E-04  7.9533E-07
  2097      2.2627E+01  -2.8601E-07  7.0086E-10  -3.6456E-04  7.1259E-07
  2098      2.2854E+01  -2.5049E-07  6.1289E-10  -3.2597E-04  6.3762E-07
  2099      2.3084E+01  -2.1910E-07  5.3528E-10  -2.9109E-04  5.6979E-07
  2100      2.3316E+01  -1.9139E-07  4.6689E-10  -2.5960E-04  5.0849E-07
  2101      2.3550E+01  -1.6696E-07  4.0670E-10  -2.3120E-04  4.5318E-07
  2102      2.3787E+01  -1.4545E-07  3.5379E-10  -2.0564E-04  4.0334E-07
  2103      2.4026E+01  -1.2654E-07  3.0736E-10  -1.8265E-04  3.5848E-07
  2104      2.4267E+01  -1.0994E-07  2.6666E-10  -1.6200E-04  3.1818E-07
  2105      2.4511E+01  -9.5387E-08  2.3103E-10  -1.4349E-04  2.8201E-07
  2106      2.4758E+01  -8.2644E-08  1.9988E-10  -1.2692E-04  2.4960E-07
  2107      2.5007E+01  -7.1501E-08  1.7270E-10  -1.1210E-04  2.2059E-07
  2108      2.5258E+01  -6.1773E-08  1.4899E-10  -9.8872E-05  1.9468E-07
  2109      2.5512E+01  -5.3292E-08  1.2836E-10  -8.7077E-05  1.7156E-07
  2110      2.5768E+01  -4.5908E-08  1.1043E-10  -7.6577E-05  1.5097E-07
  2111      2.6027E+01  -3.9489E-08  9.4860E-11  -6.7244E-05  1.3265E-07
  2112      2.6289E+01  -3.3917E-08  8.1368E-11  -5.8960E-05  1.1638E-07
  2113      2.6553E+01  -2.9088E-08  6.9691E-11  -5.1619E-05  1.0195E-07
  2114      2.6820E+01  -2.4909E-08  5.9599E-11  -4.5123E-05  8.9171E-08
  2115      2.7089E+01  -2.1297E-08  5.0892E-11  -3.9384E-05  7.7875E-08
  2116      2.7362E+01  -1.8181E-08  4.3390E-11  -3.4322E-05  6.7904E-08
  2117      2.7637E+01  -1.5497E-08  3.6937E-11  -2.9864E-05  5.9116E-08
  2118      2.7914E+01  -1.3188E-08  3.1394E-11  -2.5943E-05  5.1384E-08
  2119      2.8195E+01  -1.1205E-08  2.6641E-11  -2.2501E-05  4.4592E-08
  2120      2.8478E+01  -9.5053E-09  2.2572E-11  -1.9485E-05  3.8635E-08
  2121      2.8764E+01  -8.0501E-09  1.9093E-11  -1.6845E-05  3.3418E-08
  2122      2.9053E+01  -6.8066E-09  1.6124E-11  -1.4539E-05  2.8859E-08
  2123      2.9345E+01  -5.7456E-09  1.3594E-11  -1.2528E-05  2.4880E-08
  2124      2.9640E+01  -4.8419E-09  1.1442E-11  -1.0777E-05  2.1413E-08
  2125      2.9938E+01  -4.0734E-09  9.6149E-12  -9.2544E-06  1.8398E-08
  2126      3.0239E+01  -3.4211E-09  8.0656E-12  -7.9337E-06  1.5780E-08
  2127      3.0543E+01  -2.8682E-09  6.7544E-12  -6.7897E-06  1.3512E-08
  2128      3.0850E+01  -2.4005E-09  5.6465E-12  -5.8005E-06  1.1549E-08
  2129      3.1160E+01  -2.0056E-09  4.7121E-12  -4.9467E-06  9.8538E-09
  2130      3.1473E+01  -1.6726E-09  3.9254E-12  -4.2110E-06  8.3924E-09
  2131      3.1790E+01  -1.3924E-09  3.2641E-12  -3.5783E-06  7.1348E-09
  2132      3.2109E+01  -1.1571E-09  2.7094E-12  -3.0351E-06  6.0546E-09
  2133      3.2432E+01  -9.5976E-10  2.2448E-12  -2.5697E-06  5.1285E-09
  2134      3.2758E+01  -7.9461E-10  1.8565E-12  -2.1716E-06  4.3360E-09
  2135      3.3087E+01  -6.5666E-10  1.5325E-12  -1.8317E-06  3.6591E-09
  2136      3.3419E+01  -5.4164E-10  1.2626E-12  -1.5421E-06  3.0819E-09
  2137      3.3755E+01  -4.4593E-10  1.0382E-12  -1.2958E-06  2.5909E-09
  2138      3.4095E+01  -3.6645E-10  8.5193E-13  -1.0867E-06  2.1738E-09
  2139      3.4437E+01  -3.0058E-10  6.9760E-13  -9.0963E-07  1.8204E-09
  2140      3.4783E+01  -2.4611E-10  5.6988E-13  -7.5989E-07  1.5214E-09
  2141      3.5133E+01  -2.0120E-10  4.6426E-13  -6.3354E-07  1.2689E-09
  2142      3.5486E+01  -1.6428E-10  3.7686E-13  -5.2713E-07  1.0562E-09
  2143      3.5843E+01  -1.3408E-10  3.0434E-13  -4.3771E-07  8.7743E-10
  2144      3.6203E+01  -1.0955E-10  2.4369E-13  -3.6271E-07  7.2739E-10
  2145      3.6567E+01  -8.9850E-11  1.9224E-13  -2.9994E-07  6.0175E-10
  2146      3.6934E+01  -7.4516E-11  1.4691E-13  -2.4751E-07  4.9678E-10
  2147      3.7305E+01  -6.2826E-11  1.0546E-13  -2.0382E-07  4.0924E-10
  2148      3.7680E+01  -5.4967E-11  6.4563E-14  -1.6748E-07  3.3641E-10
  2149      3.8059E+01  -3.8373E-11  3.2068E-14  -1.3733E-07  2.7595E-10
  2150      3.8442E+01  -3.0142E-11  2.3596E-14  -1.1236E-07  2.2586E-10
  2151      3.8828E+01  -2.3619E-11  1.7308E-14  -9.1723E-08  1.8445E-10
  2152      3.9218E+01  -1.8462E-11  1.2657E-14  -7.4713E-08  1.5030E-10
  2153      3.9612E+01  -1.4395E-11  9.2263E-15  -6.0721E-08  1.2220E-10
  2154      4.0010E+01  -1.1196E-11  6.7042E-15  -4.9238E-08  9.9129E-11
  2155      4.0412E+01  -8.6864E-12  4.8560E-15  -3.9836E-08  8.0228E-11
  2156      4.0819E+01  -6.7220E-12  3.5059E-15  -3.2154E-08  6.4781E-11
  2157      4.1229E+01  -5.1884E-12  2.5229E-15  -2.5893E-08  5.2185E-11
  2158      4.1643E+01  -3.9943E-12  1.8095E-15  -2.0802E-08  4.1940E-11
  2159      4.2062E+01  -3.0669E-12  1.2935E-15  -1.6672E-08  3.3626E-11
  2160      4.2484E+01  -2.3486E-12  9.2157E-16  -1.3330E-08  2.6895E-11
  2161      4.2911E+01  -1.7937E-12  6.5433E-16  -1.0632E-08  2.1459E-11
  2162      4.3343E+01  -1.3662E-12  4.6299E-16  -8.4598E-09  1.7079E-11
  2163      4.3778E+01  -1.0378E-12  3.2646E-16  -6.7144E-09  1.3560E-11
  2164      4.4218E+01  -7.8612E-13  2.2939E-16  -5.3159E-09  1.0739E-11
  2165      4.4663E+01  -5.9383E-13  1.6061E-16  -4.1980E-09  8.4833E-12
  2166      4.5112E+01  -4.4731E-13  1.1205E-16  -3.3067E-09  6.6842E-12
  2167      4.5565E+01  -3.3598E-13  7.7891E-17  -2.5980E-09  5.2531E-12
  2168      4.6023E+01  -2.5164E-13  5.3947E-17  -2.0359E-09  4.1175E-12
  2169      4.6485E+01  -1.8792E-13  3.7226E-17  -1.5913E-09  3.2188E-12
  2170      4.6953E+01  -1.3992E-13  2.5592E-17  -1.2406E-09  2.5095E-12
  2171      4.7424E+01  -1.0388E-13  1.7528E-17  -9.6459E-10  1.9511E-12
  2172      4.7901E+01  -7.6889E-14  1.1960E-17  -7.4809E-10  1.5126E-12
  2173      4.8382E+01  -5.6739E-14  8.1287E-18  -5.7874E-10  1.1692E-12
  2174      4.8869E+01  -4.1743E-14  5.5035E-18  -4.4666E-10  9.0090E-13
  2175      4.9360E+01  -3.0615E-14  3.7116E-18  -3.4402E-10  6.9179E-13
  2176      4.9856E+01  -2.2384E-14  2.4932E-18  -2.6451E-10  5.2909E-13
  2177      5.0357E+01  -1.6315E-14  1.6681E-18  -2.0325E-10  4.0275E-13
  2178      5.0863E+01  -1.1853E-14  1.1115E-18  -1.5627E-10  3.0458E-13
  2179      5.1374E+01  -8.5840E-15  7.3767E-19  -1.2057E-10  2.2733E-13
  2180      5.1891E+01  -6.1965E-15  4.8754E-19  -9.7487E-11  1.6877E-13
