    36      1.4191E-07   8.7973E-06 -7.8199E-10   2.0704E-06 -1.8406E-10   4.5127E-12  4.4302E-08   5.6662E-13 -3.0223E-17
    37      1.4333E-07   8.8857E-06 -7.9779E-10   2.0912E-06 -1.8778E-10   4.6039E-12  4.4747E-08   5.7807E-13 -3.1144E-17
    38      1.4477E-07   8.9750E-06 -8.1391E-10   2.1122E-06 -1.9157E-10   4.6969E-12  4.5197E-08   5.8974E-13 -3.2092E-17
    39      1.4623E-07   9.0652E-06 -8.3035E-10   2.1335E-06 -1.9544E-10   4.7918E-12  4.5651E-08   6.0166E-13 -3.3070E-17
    40      1.4770E-07   9.1563E-06 -8.4712E-10   2.1549E-06 -1.9939E-10   4.8886E-12  4.6110E-08   6.1381E-13 -3.4077E-17
    41      1.4918E-07   9.2484E-06 -8.6424E-10   2.1766E-06 -2.0342E-10   4.9873E-12  4.6573E-08   6.2621E-13 -3.5115E-17
    42      1.5068E-07   9.3413E-06 -8.8170E-10   2.1984E-06 -2.0753E-10   5.0881E-12  4.7041E-08   6.3886E-13 -3.6184E-17
    43      1.5220E-07   9.4352E-06 -8.9951E-10   2.2205E-06 -2.1172E-10   5.1908E-12  4.7514E-08   6.5177E-13 -3.7286E-17
    44      1.5373E-07   9.5300E-06 -9.1768E-10   2.2428E-06 -2.1599E-10   5.2957E-12  4.7992E-08   6.6493E-13 -3.8422E-17
    45      1.5527E-07   9.6258E-06 -9.3622E-10   2.2654E-06 -2.2036E-10   5.4027E-12  4.8474E-08   6.7837E-13 -3.9592E-17
    46      1.5683E-07   9.7225E-06 -9.5513E-10   2.2882E-06 -2.2481E-10   5.5118E-12  4.8961E-08   6.9207E-13 -4.0797E-17
    47      1.5841E-07   9.8203E-06 -9.7442E-10   2.3111E-06 -2.2935E-10   5.6232E-12  4.9453E-08   7.0605E-13 -4.2040E-17
    48      1.6000E-07   9.9190E-06 -9.9411E-10   2.3344E-06 -2.3398E-10   5.7368E-12  4.9950E-08   7.2031E-13 -4.3320E-17
    49      1.6161E-07   1.0019E-05 -1.0142E-09   2.3578E-06 -2.3871E-10   5.8527E-12  5.0452E-08   7.3487E-13 -4.4639E-17
    50      1.6323E-07   1.0119E-05 -1.0347E-09   2.3815E-06 -2.4353E-10   5.9709E-12  5.0959E-08   7.4971E-13 -4.5999E-17
    51      1.6487E-07   1.0221E-05 -1.0556E-09   2.4055E-06 -2.4845E-10   6.0915E-12  5.1472E-08   7.6486E-13 -4.7400E-17
    52      1.6653E-07   1.0324E-05 -1.0769E-09   2.4296E-06 -2.5347E-10   6.2146E-12  5.1989E-08   7.8031E-13 -4.8843E-17
    53      1.6820E-07   1.0428E-05 -1.0987E-09   2.4541E-06 -2.5859E-10   6.3401E-12  5.2511E-08   7.9607E-13 -5.0331E-17
    54      1.6989E-07   1.0532E-05 -1.1209E-09   2.4787E-06 -2.6382E-10   6.4682E-12  5.3039E-08   8.1215E-13 -5.1864E-17
    55      1.7160E-07   1.0638E-05 -1.1435E-09   2.5036E-06 -2.6915E-10   6.5989E-12  5.3572E-08   8.2856E-13 -5.3443E-17
    56      1.7333E-07   1.0745E-05 -1.1666E-09   2.5288E-06 -2.7458E-10   6.7322E-12  5.4111E-08   8.4530E-13 -5.5071E-17
    57      1.7507E-07   1.0853E-05 -1.1902E-09   2.5542E-06 -2.8013E-10   6.8682E-12  5.4654E-08   8.6237E-13 -5.6748E-17
    58      1.7683E-07   1.0962E-05 -1.2142E-09   2.5799E-06 -2.8579E-10   7.0069E-12  5.5204E-08   8.7979E-13 -5.8476E-17
