#                            P           Q            P           Q            P           Q
#                R                5p-                      5p                       6s 
    52      2.9737E-08  1.2444E-11  1.9669E-07   3.9538E-13 -1.4366E-17   4.1602E-07 -2.5192E-11
    53      3.0036E-08  1.2696E-11  1.9867E-07   4.0336E-13 -1.4803E-17   4.2020E-07 -2.5701E-11
    54      3.0338E-08  1.2952E-11  2.0066E-07   4.1151E-13 -1.5254E-17   4.2442E-07 -2.6220E-11
    55      3.0643E-08  1.3214E-11  2.0268E-07   4.1983E-13 -1.5718E-17   4.2868E-07 -2.6750E-11
    56      3.0951E-08  1.3481E-11  2.0472E-07   4.2831E-13 -1.6197E-17   4.3299E-07 -2.7290E-11
    57      3.1262E-08  1.3753E-11  2.0677E-07   4.3696E-13 -1.6690E-17   4.3734E-07 -2.7842E-11
    58      3.1576E-08  1.4031E-11  2.0885E-07   4.4579E-13 -1.7199E-17   4.4174E-07 -2.8404E-11
    59      3.1894E-08  1.4315E-11  2.1095E-07   4.5479E-13 -1.7722E-17   4.4618E-07 -2.8978E-11
    60      3.2214E-08  1.4604E-11  2.1307E-07   4.6398E-13 -1.8262E-17   4.5066E-07 -2.9563E-11
    61      3.2538E-08  1.4899E-11  2.1521E-07   4.7335E-13 -1.8818E-17   4.5519E-07 -3.0160E-11
    62      3.2865E-08  1.5200E-11  2.1738E-07   4.8292E-13 -1.9391E-17   4.5977E-07 -3.0770E-11
    63      3.3195E-08  1.5507E-11  2.1956E-07   4.9267E-13 -1.9982E-17   4.6439E-07 -3.1391E-11
    64      3.3529E-08  1.5820E-11  2.2177E-07   5.0262E-13 -2.0591E-17   4.6906E-07 -3.2025E-11
    65      3.3866E-08  1.6140E-11  2.2400E-07   5.1278E-13 -2.1218E-17   4.7377E-07 -3.2672E-11
    66      3.4206E-08  1.6466E-11  2.2625E-07   5.2314E-13 -2.1864E-17   4.7853E-07 -3.3332E-11
    67      3.4550E-08  1.6798E-11  2.2852E-07   5.3370E-13 -2.2530E-17   4.8334E-07 -3.4006E-11
    68      3.4897E-08  1.7138E-11  2.3082E-07   5.4449E-13 -2.3216E-17   4.8820E-07 -3.4693E-11
    69      3.5248E-08  1.7484E-11  2.3314E-07   5.5548E-13 -2.3923E-17   4.9311E-07 -3.5394E-11
    70      3.5602E-08  1.7837E-11  2.3548E-07   5.6671E-13 -2.4651E-17   4.9806E-07 -3.6109E-11
    71      3.5960E-08  1.8197E-11  2.3785E-07   5.7815E-13 -2.5402E-17   5.0307E-07 -3.6838E-11
    72      3.6321E-08  1.8565E-11  2.4024E-07   5.8983E-13 -2.6176E-17   5.0812E-07 -3.7582E-11
    73      3.6686E-08  1.8940E-11  2.4265E-07   6.0175E-13 -2.6973E-17   5.1323E-07 -3.8341E-11
    74      3.7055E-08  1.9323E-11  2.4509E-07   6.1391E-13 -2.7794E-17   5.1839E-07 -3.9116E-11
    75      3.7427E-08  1.9713E-11  2.4755E-07   6.2631E-13 -2.8641E-17   5.2360E-07 -3.9906E-11
    76      3.7804E-08  2.0111E-11  2.5004E-07   6.3896E-13 -2.9513E-17   5.2886E-07 -4.0712E-11
    77      3.8184E-08  2.0517E-11  2.5255E-07   6.5187E-13 -3.0412E-17   5.3417E-07 -4.1535E-11
    78      3.8567E-08  2.0932E-11  2.5509E-07   6.6504E-13 -3.1338E-17   5.3954E-07 -4.2374E-11
    79      3.8955E-08  2.1355E-11  2.5766E-07   6.7847E-13 -3.2292E-17   5.4497E-07 -4.3230E-11
    80      3.9346E-08  2.1786E-11  2.6025E-07   6.9218E-13 -3.3276E-17   5.5044E-07 -4.4103E-11
    81      3.9742E-08  2.2226E-11  2.6286E-07   7.0616E-13 -3.4289E-17   5.5597E-07 -4.4994E-11
    82      4.0141E-08  2.2675E-11  2.6550E-07   7.2043E-13 -3.5333E-17   5.6156E-07 -4.5903E-11
    83      4.0545E-08  2.3133E-11  2.6817E-07   7.3498E-13 -3.6409E-17   5.6721E-07 -4.6830E-11
    84      4.0952E-08  2.3601E-11  2.7087E-07   7.4983E-13 -3.7518E-17   5.7291E-07 -4.7776E-11
    85      4.1364E-08  2.4077E-11  2.7359E-07   7.6497E-13 -3.8661E-17   5.7866E-07 -4.8741E-11
    86      4.1779E-08  2.4564E-11  2.7634E-07   7.8043E-13 -3.9838E-17   5.8448E-07 -4.9726E-11
    87      4.2199E-08  2.5060E-11  2.7912E-07   7.9619E-13 -4.1052E-17   5.9035E-07 -5.0731E-11
    88      4.2623E-08  2.5566E-11  2.8192E-07   8.1228E-13 -4.2302E-17   5.9629E-07 -5.1755E-11
    89      4.3052E-08  2.6083E-11  2.8475E-07   8.2869E-13 -4.3590E-17   6.0228E-07 -5.2801E-11
    90      4.3484E-08  2.6610E-11  2.8762E-07   8.4543E-13 -4.4918E-17   6.0833E-07 -5.3868E-11
    91      4.3921E-08  2.7147E-11  2.9051E-07   8.6251E-13 -4.6286E-17   6.1445E-07 -5.4956E-11
    92      4.4363E-08  2.7696E-11  2.9343E-07   8.7993E-13 -4.7695E-17   6.2062E-07 -5.6066E-11
    93      4.4809E-08  2.8255E-11  2.9637E-07   8.9770E-13 -4.9148E-17   6.2686E-07 -5.7199E-11
    94      4.5259E-08  2.8826E-11  2.9935E-07   9.1584E-13 -5.0644E-17   6.3316E-07 -5.8354E-11
    95      4.5714E-08  2.9408E-11  3.0236E-07   9.3434E-13 -5.2187E-17   6.3952E-07 -5.9533E-11
    96      4.6173E-08  3.0002E-11  3.0540E-07   9.5322E-13 -5.3776E-17   6.4595E-07 -6.0736E-11
    97      4.6637E-08  3.0608E-11  3.0847E-07   9.7247E-13 -5.5414E-17   6.5244E-07 -6.1962E-11
    98      4.7106E-08  3.1227E-11  3.1157E-07   9.9212E-13 -5.7101E-17   6.5900E-07 -6.3214E-11
    99      4.7580E-08  3.1858E-11  3.1470E-07   1.0122E-12 -5.8840E-17   6.6562E-07 -6.4491E-11
   100      4.8058E-08  3.2501E-11  3.1786E-07   1.0326E-12 -6.0632E-17   6.7231E-07 -6.5794E-11
   101      4.8541E-08  3.3158E-11  3.2106E-07   1.0535E-12 -6.2479E-17   6.7907E-07 -6.7123E-11
   102      4.9029E-08  3.3828E-11  3.2429E-07   1.0747E-12 -6.4382E-17   6.8589E-07 -6.8479E-11
   103      4.9521E-08  3.4511E-11  3.2754E-07   1.0965E-12 -6.6342E-17   6.9279E-07 -6.9862E-11
   104      5.0019E-08  3.5208E-11  3.3084E-07   1.1186E-12 -6.8363E-17   6.9975E-07 -7.1274E-11
   105      5.0522E-08  3.5919E-11  3.3416E-07   1.1412E-12 -7.0445E-17   7.0678E-07 -7.2714E-11
   106      5.1029E-08  3.6645E-11  3.3752E-07   1.1643E-12 -7.2590E-17   7.1389E-07 -7.4183E-11
   107      5.1542E-08  3.7385E-11  3.4091E-07   1.1878E-12 -7.4801E-17   7.2106E-07 -7.5681E-11
   108      5.2060E-08  3.8140E-11  3.4434E-07   1.2118E-12 -7.7079E-17   7.2831E-07 -7.7210E-11
   109      5.2584E-08  3.8911E-11  3.4780E-07   1.2363E-12 -7.9426E-17   7.3563E-07 -7.8770E-11
   110      5.3112E-08  3.9697E-11  3.5129E-07   1.2612E-12 -8.1845E-17   7.4302E-07 -8.0361E-11
   111      5.3646E-08  4.0499E-11  3.5482E-07   1.2867E-12 -8.4338E-17   7.5049E-07 -8.1984E-11
   112      5.4185E-08  4.1317E-11  3.5839E-07   1.3127E-12 -8.6906E-17   7.5803E-07 -8.3641E-11
   113      5.4730E-08  4.2152E-11  3.6199E-07   1.3392E-12 -8.9553E-17   7.6565E-07 -8.5330E-11
   114      5.5280E-08  4.3003E-11  3.6563E-07   1.3663E-12 -9.2280E-17   7.7334E-07 -8.7054E-11
   115      5.5835E-08  4.3872E-11  3.6931E-07   1.3939E-12 -9.5090E-17   7.8111E-07 -8.8813E-11
   116      5.6396E-08  4.4758E-11  3.7302E-07   1.4220E-12 -9.7986E-17   7.8897E-07 -9.0607E-11
   117      5.6963E-08  4.5662E-11  3.7677E-07   1.4508E-12 -1.0097E-16   7.9689E-07 -9.2437E-11
   118      5.7536E-08  4.6585E-11  3.8055E-07   1.4801E-12 -1.0405E-16   8.0490E-07 -9.4304E-11
   119      5.8114E-08  4.7526E-11  3.8438E-07   1.5100E-12 -1.0721E-16   8.1299E-07 -9.6210E-11
   120      5.8698E-08  4.8486E-11  3.8824E-07   1.5405E-12 -1.1048E-16   8.2116E-07 -9.8153E-11
