#                             P           Q            P           Q            P           Q
#                R                 6d-                      6d                       7s 
    52      1.8924E-08   9.3573E-19  2.8873E-14   2.2544E-20 -5.0520E-25   6.7572E-07 -3.5333E-11
    53      1.9114E-08   9.6423E-19  2.9456E-14   2.3231E-20 -5.2582E-25   6.8251E-07 -3.6047E-11
    54      1.9306E-08   9.9360E-19  3.0051E-14   2.3938E-20 -5.4728E-25   6.8937E-07 -3.6775E-11
    55      1.9500E-08   1.0239E-18  3.0658E-14   2.4667E-20 -5.6962E-25   6.9630E-07 -3.7518E-11
    56      1.9696E-08   1.0550E-18  3.1278E-14   2.5418E-20 -5.9286E-25   7.0330E-07 -3.8276E-11
    57      1.9894E-08   1.0872E-18  3.1910E-14   2.6192E-20 -6.1706E-25   7.1036E-07 -3.9049E-11
    58      2.0094E-08   1.1203E-18  3.2554E-14   2.6990E-20 -6.4224E-25   7.1750E-07 -3.9838E-11
    59      2.0296E-08   1.1544E-18  3.3212E-14   2.7812E-20 -6.6845E-25   7.2472E-07 -4.0643E-11
    60      2.0500E-08   1.1895E-18  3.3883E-14   2.8659E-20 -6.9573E-25   7.3200E-07 -4.1464E-11
    61      2.0706E-08   1.2258E-18  3.4567E-14   2.9532E-20 -7.2412E-25   7.3936E-07 -4.2301E-11
    62      2.0914E-08   1.2631E-18  3.5265E-14   3.0431E-20 -7.5367E-25   7.4679E-07 -4.3156E-11
    63      2.1124E-08   1.3016E-18  3.5978E-14   3.1358E-20 -7.8443E-25   7.5429E-07 -4.4028E-11
    64      2.1336E-08   1.3412E-18  3.6705E-14   3.2313E-20 -8.1644E-25   7.6187E-07 -4.4917E-11
    65      2.1551E-08   1.3821E-18  3.7446E-14   3.3297E-20 -8.4976E-25   7.6953E-07 -4.5824E-11
    66      2.1768E-08   1.4241E-18  3.8203E-14   3.4311E-20 -8.8444E-25   7.7726E-07 -4.6750E-11
    67      2.1986E-08   1.4675E-18  3.8974E-14   3.5356E-20 -9.2054E-25   7.8507E-07 -4.7694E-11
    68      2.2207E-08   1.5122E-18  3.9762E-14   3.6433E-20 -9.5810E-25   7.9296E-07 -4.8658E-11
    69      2.2430E-08   1.5583E-18  4.0565E-14   3.7542E-20 -9.9721E-25   8.0093E-07 -4.9641E-11
    70      2.2656E-08   1.6057E-18  4.1384E-14   3.8686E-20 -1.0379E-24   8.0898E-07 -5.0644E-11
    71      2.2884E-08   1.6546E-18  4.2220E-14   3.9864E-20 -1.0803E-24   8.1711E-07 -5.1667E-11
    72      2.3114E-08   1.7050E-18  4.3073E-14   4.1078E-20 -1.1243E-24   8.2533E-07 -5.2710E-11
    73      2.3346E-08   1.7569E-18  4.3943E-14   4.2329E-20 -1.1702E-24   8.3362E-07 -5.3775E-11
    74      2.3580E-08   1.8104E-18  4.4831E-14   4.3618E-20 -1.2180E-24   8.4200E-07 -5.4861E-11
    75      2.3817E-08   1.8656E-18  4.5737E-14   4.4946E-20 -1.2677E-24   8.5046E-07 -5.5970E-11
    76      2.4057E-08   1.9224E-18  4.6661E-14   4.6315E-20 -1.3194E-24   8.5901E-07 -5.7100E-11
    77      2.4299E-08   1.9809E-18  4.7603E-14   4.7726E-20 -1.3733E-24   8.6764E-07 -5.8254E-11
    78      2.4543E-08   2.0413E-18  4.8565E-14   4.9179E-20 -1.4293E-24   8.7636E-07 -5.9431E-11
    79      2.4789E-08   2.1034E-18  4.9546E-14   5.0677E-20 -1.4877E-24   8.8517E-07 -6.0631E-11
    80      2.5039E-08   2.1675E-18  5.0547E-14   5.2220E-20 -1.5484E-24   8.9407E-07 -6.1856E-11
    81      2.5290E-08   2.2335E-18  5.1568E-14   5.3811E-20 -1.6116E-24   9.0305E-07 -6.3105E-11
    82      2.5544E-08   2.3015E-18  5.2610E-14   5.5449E-20 -1.6773E-24   9.1213E-07 -6.4380E-11
    83      2.5801E-08   2.3716E-18  5.3673E-14   5.7138E-20 -1.7458E-24   9.2129E-07 -6.5681E-11
    84      2.6060E-08   2.4438E-18  5.4757E-14   5.8878E-20 -1.8170E-24   9.3055E-07 -6.7008E-11
    85      2.6322E-08   2.5183E-18  5.5863E-14   6.0671E-20 -1.8912E-24   9.3991E-07 -6.8361E-11
    86      2.6587E-08   2.5950E-18  5.6992E-14   6.2519E-20 -1.9684E-24   9.4935E-07 -6.9742E-11
    87      2.6854E-08   2.6740E-18  5.8143E-14   6.4423E-20 -2.0487E-24   9.5889E-07 -7.1151E-11
    88      2.7124E-08   2.7554E-18  5.9318E-14   6.6385E-20 -2.1323E-24   9.6853E-07 -7.2588E-11
    89      2.7397E-08   2.8393E-18  6.0516E-14   6.8407E-20 -2.2193E-24   9.7826E-07 -7.4055E-11
    90      2.7672E-08   2.9258E-18  6.1738E-14   7.0490E-20 -2.3099E-24   9.8810E-07 -7.5551E-11
    91      2.7950E-08   3.0149E-18  6.2985E-14   7.2637E-20 -2.4042E-24   9.9803E-07 -7.7077E-11
    92      2.8231E-08   3.1067E-18  6.4258E-14   7.4849E-20 -2.5023E-24   1.0081E-06 -7.8634E-11
    93      2.8515E-08   3.2013E-18  6.5556E-14   7.7128E-20 -2.6044E-24   1.0182E-06 -8.0222E-11
    94      2.8801E-08   3.2988E-18  6.6880E-14   7.9477E-20 -2.7107E-24   1.0284E-06 -8.1843E-11
    95      2.9091E-08   3.3993E-18  6.8231E-14   8.1898E-20 -2.8213E-24   1.0388E-06 -8.3496E-11
    96      2.9383E-08   3.5028E-18  6.9610E-14   8.4392E-20 -2.9364E-24   1.0492E-06 -8.5183E-11
    97      2.9678E-08   3.6095E-18  7.1016E-14   8.6962E-20 -3.0563E-24   1.0597E-06 -8.6904E-11
    98      2.9977E-08   3.7194E-18  7.2451E-14   8.9610E-20 -3.1810E-24   1.0704E-06 -8.8659E-11
    99      3.0278E-08   3.8327E-18  7.3914E-14   9.2339E-20 -3.3108E-24   1.0811E-06 -9.0450E-11
   100      3.0582E-08   3.9494E-18  7.5407E-14   9.5151E-20 -3.4459E-24   1.0920E-06 -9.2278E-11
   101      3.0890E-08   4.0697E-18  7.6931E-14   9.8049E-20 -3.5866E-24   1.1030E-06 -9.4142E-11
   102      3.1200E-08   4.1936E-18  7.8485E-14   1.0104E-19 -3.7330E-24   1.1141E-06 -9.6043E-11
   103      3.1514E-08   4.3214E-18  8.0070E-14   1.0411E-19 -3.8853E-24   1.1253E-06 -9.7984E-11
   104      3.1830E-08   4.4530E-18  8.1688E-14   1.0728E-19 -4.0439E-24   1.1366E-06 -9.9963E-11
   105      3.2150E-08   4.5886E-18  8.3338E-14   1.1055E-19 -4.2089E-24   1.1480E-06 -1.0198E-10
   106      3.2473E-08   4.7283E-18  8.5022E-14   1.1392E-19 -4.3807E-24   1.1595E-06 -1.0404E-10
   107      3.2800E-08   4.8723E-18  8.6739E-14   1.1739E-19 -4.5594E-24   1.1712E-06 -1.0614E-10
   108      3.3129E-08   5.0207E-18  8.8491E-14   1.2096E-19 -4.7455E-24   1.1830E-06 -1.0829E-10
   109      3.3462E-08   5.1736E-18  9.0279E-14   1.2465E-19 -4.9392E-24   1.1949E-06 -1.1048E-10
   110      3.3799E-08   5.3312E-18  9.2103E-14   1.2844E-19 -5.1408E-24   1.2069E-06 -1.1271E-10
   111      3.4138E-08   5.4935E-18  9.3963E-14   1.3235E-19 -5.3505E-24   1.2190E-06 -1.1498E-10
   112      3.4481E-08   5.6608E-18  9.5862E-14   1.3638E-19 -5.5689E-24   1.2312E-06 -1.1731E-10
   113      3.4828E-08   5.8332E-18  9.7798E-14   1.4054E-19 -5.7962E-24   1.2436E-06 -1.1968E-10
   114      3.5178E-08   6.0109E-18  9.9774E-14   1.4482E-19 -6.0327E-24   1.2561E-06 -1.2209E-10
   115      3.5531E-08   6.1939E-18  1.0179E-13   1.4923E-19 -6.2789E-24   1.2687E-06 -1.2456E-10
   116      3.5889E-08   6.3826E-18  1.0385E-13   1.5377E-19 -6.5352E-24   1.2815E-06 -1.2708E-10
   117      3.6249E-08   6.5769E-18  1.0594E-13   1.5845E-19 -6.8019E-24   1.2944E-06 -1.2964E-10
   118      3.6614E-08   6.7772E-18  1.0808E-13   1.6328E-19 -7.0795E-24   1.3074E-06 -1.3226E-10
   119      3.6982E-08   6.9836E-18  1.1027E-13   1.6825E-19 -7.3684E-24   1.3205E-06 -1.3494E-10
   120      3.7353E-08   7.1963E-18  1.1249E-13   1.7338E-19 -7.6691E-24   1.3338E-06 -1.3766E-10
   121      3.7729E-08   7.4155E-18  1.1477E-13   1.7866E-19 -7.9821E-24   1.3472E-06 -1.4044E-10
   122      3.8108E-08   7.6413E-18  1.1709E-13   1.8410E-19 -8.3078E-24   1.3607E-06 -1.4328E-10
   123      3.8491E-08   7.8740E-18  1.1945E-13   1.8970E-19 -8.6469E-24   1.3744E-06 -1.4617E-10
   124      3.8878E-08   8.1138E-18  1.2186E-13   1.9548E-19 -8.9998E-24   1.3882E-06 -1.4913E-10
   125      3.9268E-08   8.3609E-18  1.2433E-13   2.0144E-19 -9.3671E-24   1.4022E-06 -1.5214E-10
   126      3.9663E-08   8.6156E-18  1.2684E-13   2.0757E-19 -9.7493E-24   1.4163E-06 -1.5521E-10
   127      4.0062E-08   8.8780E-18  1.2940E-13   2.1389E-19 -1.0147E-23   1.4305E-06 -1.5835E-10
   128      4.0464E-08   9.1483E-18  1.3201E-13   2.2041E-19 -1.0561E-23   1.4449E-06 -1.6155E-10
   129      4.0871E-08   9.4269E-18  1.3468E-13   2.2712E-19 -1.0992E-23   1.4594E-06 -1.6481E-10
   130      4.1282E-08   9.7140E-18  1.3740E-13   2.3403E-19 -1.1441E-23   1.4741E-06 -1.6814E-10
   131      4.1697E-08   1.0010E-17  1.4018E-13   2.4116E-19 -1.1908E-23   1.4889E-06 -1.7154E-10
   132      4.2116E-08   1.0315E-17  1.4301E-13   2.4851E-19 -1.2394E-23   1.5038E-06 -1.7500E-10
   133      4.2539E-08   1.0629E-17  1.4590E-13   2.5607E-19 -1.2900E-23   1.5190E-06 -1.7854E-10
   134      4.2966E-08   1.0953E-17  1.4884E-13   2.6387E-19 -1.3426E-23   1.5342E-06 -1.8214E-10
   135      4.3398E-08   1.1286E-17  1.5185E-13   2.7191E-19 -1.3974E-23   1.5496E-06 -1.8582E-10
   136      4.3834E-08   1.1630E-17  1.5492E-13   2.8019E-19 -1.4544E-23   1.5652E-06 -1.8958E-10
   137      4.4275E-08   1.1984E-17  1.5805E-13   2.8872E-19 -1.5138E-23   1.5809E-06 -1.9341E-10
   138      4.4720E-08   1.2349E-17  1.6124E-13   2.9752E-19 -1.5756E-23   1.5968E-06 -1.9731E-10
   139      4.5169E-08   1.2725E-17  1.6450E-13   3.0658E-19 -1.6399E-23   1.6129E-06 -2.0130E-10
   140      4.5623E-08   1.3113E-17  1.6782E-13   3.1591E-19 -1.7068E-23   1.6291E-06 -2.0537E-10
   141      4.6082E-08   1.3512E-17  1.7121E-13   3.2553E-19 -1.7764E-23   1.6455E-06 -2.0952E-10
   142      4.6545E-08   1.3923E-17  1.7467E-13   3.3545E-19 -1.8489E-23   1.6620E-06 -2.1375E-10
   143      4.7013E-08   1.4347E-17  1.7820E-13   3.4566E-19 -1.9244E-23   1.6787E-06 -2.1807E-10
   144      4.7485E-08   1.4784E-17  1.8180E-13   3.5619E-19 -2.0029E-23   1.6956E-06 -2.2247E-10
   145      4.7962E-08   1.5235E-17  1.8547E-13   3.6704E-19 -2.0847E-23   1.7126E-06 -2.2697E-10
   146      4.8444E-08   1.5699E-17  1.8922E-13   3.7822E-19 -2.1698E-23   1.7298E-06 -2.3155E-10
   147      4.8931E-08   1.6177E-17  1.9304E-13   3.8974E-19 -2.2583E-23   1.7472E-06 -2.3623E-10
   148      4.9423E-08   1.6669E-17  1.9694E-13   4.0161E-19 -2.3505E-23   1.7648E-06 -2.4100E-10
   149      4.9920E-08   1.7177E-17  2.0092E-13   4.1384E-19 -2.4464E-23   1.7825E-06 -2.4587E-10
   150      5.0422E-08   1.7700E-17  2.0498E-13   4.2644E-19 -2.5462E-23   1.8004E-06 -2.5084E-10
   151      5.0928E-08   1.8239E-17  2.0912E-13   4.3943E-19 -2.6501E-23   1.8185E-06 -2.5590E-10
   152      5.1440E-08   1.8795E-17  2.1334E-13   4.5281E-19 -2.7583E-23   1.8368E-06 -2.6107E-10
   153      5.1957E-08   1.9367E-17  2.1765E-13   4.6660E-19 -2.8709E-23   1.8553E-06 -2.6635E-10
