#                              P           Q            P           Q            P           Q
#                R                  5p-                      5p                       5d-
     1      1.1364E-08    2.7144E-11  8.3689E-07   4.2520E-13 -8.0102E-18   7.9482E-19  4.0842E-14
     2      1.1478E-08    2.7693E-11  8.4530E-07   4.3379E-13 -8.2541E-18   8.1903E-19  4.1667E-14
     3      1.1593E-08    2.8252E-11  8.5380E-07   4.4256E-13 -8.5055E-18   8.4397E-19  4.2509E-14
     4      1.1710E-08    2.8823E-11  8.6238E-07   4.5150E-13 -8.7645E-18   8.6967E-19  4.3368E-14
     5      1.1827E-08    2.9405E-11  8.7105E-07   4.6062E-13 -9.0315E-18   8.9616E-19  4.4244E-14
     6      1.1946E-08    2.9999E-11  8.7980E-07   4.6992E-13 -9.3066E-18   9.2345E-19  4.5138E-14
     7      1.2066E-08    3.0605E-11  8.8864E-07   4.7942E-13 -9.5900E-18   9.5158E-19  4.6049E-14
     8      1.2188E-08    3.1223E-11  8.9757E-07   4.8910E-13 -9.8821E-18   9.8056E-19  4.6980E-14
     9      1.2310E-08    3.1854E-11  9.0659E-07   4.9898E-13 -1.0183E-17   1.0104E-18  4.7929E-14
    10      1.2434E-08    3.2498E-11  9.1571E-07   5.0906E-13 -1.0493E-17   1.0412E-18  4.8897E-14
    11      1.2559E-08    3.3154E-11  9.2491E-07   5.1935E-13 -1.0813E-17   1.0729E-18  4.9885E-14
    12      1.2685E-08    3.3824E-11  9.3420E-07   5.2984E-13 -1.1142E-17   1.1056E-18  5.0892E-14
    13      1.2812E-08    3.4507E-11  9.4359E-07   5.4054E-13 -1.1481E-17   1.1392E-18  5.1921E-14
    14      1.2941E-08    3.5204E-11  9.5308E-07   5.5146E-13 -1.1831E-17   1.1739E-18  5.2969E-14
    15      1.3071E-08    3.5915E-11  9.6266E-07   5.6260E-13 -1.2192E-17   1.2097E-18  5.4039E-14
    16      1.3203E-08    3.6641E-11  9.7233E-07   5.7397E-13 -1.2563E-17   1.2465E-18  5.5131E-14
    17      1.3335E-08    3.7381E-11  9.8210E-07   5.8556E-13 -1.2945E-17   1.2845E-18  5.6245E-14
    18      1.3469E-08    3.8136E-11  9.9197E-07   5.9739E-13 -1.3340E-17   1.3236E-18  5.7381E-14
    19      1.3605E-08    3.8907E-11  1.0019E-06   6.0946E-13 -1.3746E-17   1.3639E-18  5.8540E-14
    20      1.3741E-08    3.9693E-11  1.0120E-06   6.2177E-13 -1.4165E-17   1.4055E-18  5.9723E-14
    21      1.3880E-08    4.0495E-11  1.0222E-06   6.3433E-13 -1.4596E-17   1.4483E-18  6.0929E-14
    22      1.4019E-08    4.1313E-11  1.0325E-06   6.4714E-13 -1.5041E-17   1.4924E-18  6.2160E-14
    23      1.4160E-08    4.2147E-11  1.0428E-06   6.6022E-13 -1.5499E-17   1.5378E-18  6.3416E-14
    24      1.4302E-08    4.2999E-11  1.0533E-06   6.7356E-13 -1.5971E-17   1.5847E-18  6.4697E-14
    25      1.4446E-08    4.3867E-11  1.0639E-06   6.8716E-13 -1.6457E-17   1.6329E-18  6.6004E-14
    26      1.4591E-08    4.4754E-11  1.0746E-06   7.0104E-13 -1.6958E-17   1.6827E-18  6.7337E-14
    27      1.4738E-08    4.5658E-11  1.0854E-06   7.1521E-13 -1.7475E-17   1.7339E-18  6.8698E-14
    28      1.4886E-08    4.6580E-11  1.0963E-06   7.2965E-13 -1.8007E-17   1.7867E-18  7.0085E-14
    29      1.5036E-08    4.7521E-11  1.1073E-06   7.4439E-13 -1.8555E-17   1.8411E-18  7.1501E-14
    30      1.5187E-08    4.8481E-11  1.1184E-06   7.5943E-13 -1.9120E-17   1.8972E-18  7.2946E-14
    31      1.5339E-08    4.9460E-11  1.1297E-06   7.7477E-13 -1.9703E-17   1.9550E-18  7.4419E-14
    32      1.5493E-08    5.0460E-11  1.1410E-06   7.9042E-13 -2.0303E-17   2.0145E-18  7.5923E-14
    33      1.5649E-08    5.1479E-11  1.1525E-06   8.0639E-13 -2.0921E-17   2.0759E-18  7.7456E-14
    34      1.5806E-08    5.2519E-11  1.1641E-06   8.2268E-13 -2.1558E-17   2.1391E-18  7.9021E-14
    35      1.5965E-08    5.3580E-11  1.1758E-06   8.3930E-13 -2.2215E-17   2.2042E-18  8.0617E-14
    36      1.6126E-08    5.4662E-11  1.1876E-06   8.5626E-13 -2.2891E-17   2.2714E-18  8.2246E-14
    37      1.6288E-08    5.5766E-11  1.1995E-06   8.7355E-13 -2.3589E-17   2.3405E-18  8.3907E-14
