      49   18    4   68        0.011646016029 
      54   18    4   73        0.016120227456
      57   18    4   76        0.019323690508 
      62   18    4   81        0.017069630131 
      68   16    8   64       -0.033079909367 
      69   16    8   65        0.064446889980 
      71   16    8   68        0.092414657026 
      76   16    8   73        0.113638917251
      79   16    8   76        0.114425715900 
      83   16    8   81        0.080726452553 
      85   16    8   86        0.036841326270 
      86   16    8   89        0.010755891707 
      92   16    4   21       -0.031234694596 
      93   16    4   22        0.060690100433 
      94   16    4   25        0.086591725444 
      99   16    4   30        0.105578781325 
     102   16    4   33        0.104763867137 
     107   16    4   38        0.072191655582 
     108   16    4   43        0.031925407773 
     111   19    8   25       -0.010085811313 
     116   19    8   30       -0.013960490334 
     119   19    8   33       -0.016734794590 
     124   19    8   38       -0.014782725476 
       2    8    3  306        0.010981954698
       3    8    3  310        0.010838669925
       4   18   15  305       -0.010895508484
       5   17   16  299        0.011121532830
       6   17   16  303       -0.013203946741
       7   17   16  305       -0.010895379017
       8   17   16  309        0.012072530613
       9   18   16  292       -0.011364202074
      10   18   16  294        0.012243514691
      11   18   16  298       -0.014103746831
      12   18   16  300        0.016970885190
      13   18   16  305       -0.010854435853
      14   18   16  306        0.018548374870
      15   18   16  310        0.014460138622
      16   20   19  305       -0.010854421687
      17   16   15  255       -0.010829577794
      18   16   15  259        0.012839112532
      19   16   15  261       -0.010895618840
      20   16   15  265       -0.011664278408
      21   19   18  261       -0.012533635849
      22   20   16  365       -0.010794911217
      23   20   16  366        0.011602218118
      24   20   16  369        0.013318583062
      25   20   16  370        0.015929550446
      26   20   16  374       -0.016180811580
      27   20   16  375       -0.017288072406
      28   20   16  377        0.012814768621
      29   20   16  378       -0.013548349364
      30   18   17  374       -0.014066029590
      31   18   17  377        0.012719575824
      32   19   16  333       -0.010794911776
      33   19   16  334        0.011602218989
      34   19   16  337        0.013318557382
      35   19   16  338        0.015929563502
      36   19   16  343       -0.017288050447
      37   19   16  346       -0.013548344404
      38   20   17  420        0.014066027551
      39   20   17  422        0.012719575385
      40   20   18  420       -0.014013009238
      41   20   18  422       -0.011097919307
